user_id,store_id,name,email,role,status
1,1,User 1,user1@novaretail.example,store_manager,active
2,1,User 2,user2@novaretail.example,cashier,active
3,1,User 3,user3@novaretail.example,inventory_manager,active
4,1,User 4,user4@novaretail.example,finance_manager,active
5,1,User 5,user5@novaretail.example,store_manager,active
6,1,User 6,user6@novaretail.example,cashier,active
7,1,User 7,user7@novaretail.example,inventory_manager,active
8,1,User 8,user8@novaretail.example,finance_manager,active
9,2,User 9,user9@novaretail.example,store_manager,active
10,2,User 10,user10@novaretail.example,cashier,active
11,2,User 11,user11@novaretail.example,inventory_manager,active
12,2,User 12,user12@novaretail.example,finance_manager,active
13,2,User 13,user13@novaretail.example,store_manager,active
14,2,User 14,user14@novaretail.example,cashier,active
15,2,User 15,user15@novaretail.example,inventory_manager,active
16,2,User 16,user16@novaretail.example,finance_manager,active
17,3,User 17,user17@novaretail.example,store_manager,active
18,3,User 18,user18@novaretail.example,cashier,active
19,3,User 19,user19@novaretail.example,inventory_manager,active
20,3,User 20,user20@novaretail.example,finance_manager,active
21,3,User 21,user21@novaretail.example,store_manager,active
22,3,User 22,user22@novaretail.example,cashier,active
23,3,User 23,user23@novaretail.example,inventory_manager,active
24,3,User 24,user24@novaretail.example,finance_manager,active
25,4,User 25,user25@novaretail.example,store_manager,active
26,4,User 26,user26@novaretail.example,cashier,active
27,4,User 27,user27@novaretail.example,inventory_manager,active
28,4,User 28,user28@novaretail.example,finance_manager,active
29,4,User 29,user29@novaretail.example,store_manager,active
30,4,User 30,user30@novaretail.example,cashier,active
31,4,User 31,user31@novaretail.example,inventory_manager,active
32,4,User 32,user32@novaretail.example,finance_manager,active
33,5,User 33,user33@novaretail.example,store_manager,active
34,5,User 34,user34@novaretail.example,cashier,active
35,5,User 35,user35@novaretail.example,inventory_manager,active
36,5,User 36,user36@novaretail.example,finance_manager,active
37,5,User 37,user37@novaretail.example,store_manager,active
38,5,User 38,user38@novaretail.example,cashier,active
39,5,User 39,user39@novaretail.example,inventory_manager,active
40,5,User 40,user40@novaretail.example,finance_manager,active
41,1,System Admin,admin@novaretail.example,admin,active
